DateTime,temp,hum,HeatIndex
2015/01/31 17:10:12,69.80,33.00,76.48
2015/01/31 17:20:12,71.60,33.00,76.52
2015/01/31 17:30:13,68.00,34.00,76.78
2015/01/31 17:40:13,71.60,33.00,76.52
2015/01/31 17:50:14,69.80,33.00,76.48
2015/01/31 18:00:15,69.80,33.00,76.48
2015/01/31 18:10:15,71.60,33.00,76.52
2015/01/31 18:20:16,69.80,33.00,76.48
2015/01/31 18:30:16,71.60,33.00,76.52
2015/01/31 18:40:17,68.00,34.00,76.78
2015/01/31 18:50:17,71.60,33.00,76.52
2015/01/31 19:00:18,69.80,33.00,76.48
2015/01/31 19:10:18,69.80,33.00,76.48
2015/01/31 19:20:19,71.60,33.00,76.52
2015/01/31 19:30:19,69.80,33.00,76.48
2015/01/31 19:40:20,71.60,33.00,76.52
2015/01/31 19:50:20,68.00,34.00,76.78
2015/01/31 20:00:21,71.60,33.00,76.52
2015/01/31 20:10:21,69.80,33.00,76.48
2015/01/31 20:20:22,69.80,33.00,76.48
2015/01/31 20:30:22,71.60,33.00,76.52
2015/01/31 20:40:23,69.80,33.00,76.48
2015/01/31 20:50:23,71.60,33.00,76.52
2015/01/31 21:00:24,68.00,34.00,76.78
2015/01/31 21:10:24,71.60,33.00,76.52
2015/01/31 21:20:25,69.80,33.00,76.48
2015/01/31 21:30:25,71.60,33.00,76.52
2015/01/31 21:40:26,71.60,33.00,76.52
2015/01/31 21:50:26,69.80,33.00,76.48
2015/01/31 22:00:27,71.60,33.00,76.52
2015/01/31 22:10:27,68.00,34.00,76.78
2015/01/31 22:20:28,71.60,33.00,76.52
2015/01/31 22:30:28,69.80,33.00,76.48
2015/01/31 22:40:29,71.60,33.00,76.52
2015/01/31 22:50:29,71.60,33.00,76.52
2015/01/31 23:00:30,69.80,33.00,76.48
2015/01/31 23:10:30,71.60,33.00,76.52
2015/01/31 23:20:31,68.00,34.00,76.78
2015/01/31 23:30:31,71.60,33.00,76.52
2015/01/31 23:40:32,69.80,33.00,76.48
2015/01/31 23:50:32,71.60,33.00,76.52
2015/02/01 00:00:33,71.60,33.00,76.52
2015/02/01 00:10:33,69.80,33.00,76.48
2015/02/01 00:20:34,71.60,33.00,76.52
2015/02/01 00:30:34,68.00,34.00,76.78
2015/02/01 00:40:35,71.60,33.00,76.52
2015/02/01 00:50:35,69.80,33.00,76.48
2015/02/01 01:00:36,71.60,33.00,76.52
2015/02/01 01:10:36,71.60,33.00,76.52
2015/02/01 01:20:37,69.80,33.00,76.48
2015/02/01 01:30:37,71.60,33.00,76.52
2015/02/01 01:40:38,68.00,34.00,76.78
2015/02/01 01:50:39,71.60,33.00,76.52
2015/02/01 02:00:39,69.80,33.00,76.48
2015/02/01 02:10:40,69.80,33.00,76.48
2015/02/01 02:20:40,71.60,33.00,76.52
2015/02/01 02:30:41,69.80,33.00,76.48
2015/02/01 02:40:41,71.60,33.00,76.52
2015/02/01 02:50:42,68.00,34.00,76.78
2015/02/01 03:00:42,71.60,33.00,76.52
2015/02/01 03:10:43,69.80,33.00,76.48
2015/02/01 03:20:43,69.80,33.00,76.48
2015/02/01 03:30:43,71.60,33.00,76.52
2015/02/01 03:40:44,68.00,34.00,76.78
2015/02/01 03:50:44,71.60,33.00,76.52
2015/02/01 04:00:45,69.80,33.00,76.48
2015/02/01 04:10:45,71.60,33.00,76.52
2015/02/01 04:20:46,71.60,33.00,76.52
2015/02/01 04:30:46,69.80,33.00,76.48
2015/02/01 04:40:47,71.60,33.00,76.52
2015/02/01 04:50:47,68.00,34.00,76.78
2015/02/01 05:00:48,71.60,33.00,76.52
2015/02/01 05:10:48,69.80,33.00,76.48
2015/02/01 05:20:49,69.80,33.00,76.48
2015/02/01 05:30:50,71.60,33.00,76.52
2015/02/01 05:40:50,69.80,33.00,76.48
2015/02/01 05:50:51,71.60,33.00,76.52
2015/02/01 06:00:51,69.80,33.00,76.48
2015/02/01 06:10:52,71.60,33.00,76.52
2015/02/01 06:20:52,69.80,33.00,76.48
2015/02/01 06:30:53,71.60,33.00,76.52
2015/02/01 06:40:53,71.60,33.00,76.52
2015/02/01 06:50:54,69.80,33.00,76.48
2015/02/01 07:00:54,71.60,33.00,76.52
2015/02/01 07:10:55,68.00,34.00,76.78
2015/02/01 07:20:55,71.60,33.00,76.52
2015/02/01 07:30:56,69.80,33.00,76.48
2015/02/01 07:40:56,71.60,33.00,76.52
2015/02/01 07:50:57,71.60,33.00,76.52
2015/02/01 08:00:57,69.80,33.00,76.48
2015/02/01 08:10:58,71.60,33.00,76.52
2015/02/01 08:20:58,68.00,34.00,76.78
2015/02/01 08:30:59,71.60,33.00,76.52
2015/02/01 08:40:59,69.80,33.00,76.48
2015/02/01 08:51:00,71.60,33.00,76.52
2015/02/01 09:01:00,71.60,33.00,76.52
2015/02/01 09:11:01,69.80,33.00,76.48
2015/02/01 09:21:01,71.60,33.00,76.52
2015/02/01 09:31:02,68.00,34.00,76.78
2015/02/01 09:41:02,71.60,33.00,76.52
2015/02/01 09:51:03,69.80,33.00,76.48
2015/02/01 10:01:03,71.60,33.00,76.52
